Stimulus	Speaker	Type 	Repetition	Emotion	Scale	Participant	Score
S1	F	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S2	F	Auditory	2	Neutral	Neutral-Incredulity	P1	4
S3	F	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S4	F	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S5	F	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S6	F	Auditory	2	Neutral	Neutral-Incredulity	P1	4
S7	F	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S8	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S9	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S10	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S11	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S12	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S13	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S14	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S15	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S16	F	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S17	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S18	F	Auditory	1	Happiness	Sadness-Happiness	P1	5
S19	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S20	F	Auditory	1	Sadness	Sadness-Happiness	P1	3
S21	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S22	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S23	F	Auditory	1	Happiness	Sadness-Happiness	P1	5
S24	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S25	F	Auditory	1	Happiness	Sadness-Happiness	P1	3
S26	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S27	F	Auditory	1	Happiness	Sadness-Happiness	P1	5
S28	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S29	F	Auditory	1	Happiness	Sadness-Happiness	P1	4
S30	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S31	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S32	F	Auditory	1	Fear	Fear-Anger	P1	2
S33	F	Auditory	1	Sadness	Sadness-Happiness	P1	2
S34	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S35	F	Auditory	1	Fear	Fear-Anger	P1	2
S36	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S37	F	Auditory	1	Happiness	Sadness-Happiness	P1	3
S38	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S39	F	Auditory	1	Sadness	Sadness-Happiness	P1	1
S40	F	Auditory	1	Fear	Fear-Anger	P1	2
S41	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	2
S42	F	Auditory	1	Fear	Fear-Anger	P1	2
S43	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S44	F	Auditory	1	Fear	Fear-Anger	P1	2
S45	F	Auditory	1	Sadness	Sadness-Happiness	P1	1
S46	F	Auditory	1	Fear	Fear-Anger	P1	2
S47	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S48	F	Auditory	1	Sadness	Sadness-Happiness	P1	2
S49	F	Auditory	1	Happiness	Sadness-Happiness	P1	4
S50	F	Auditory	1	Fear	Fear-Anger	P1	1
S51	F	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S52	F	Auditory	1	Fear	Fear-Anger	P1	2
S53	F	Auditory	1	Sadness	Sadness-Happiness	P1	2
S54	F	Auditory	1	Sadness	Sadness-Happiness	P1	2
S55	F	Auditory	1	Happiness	Sadness-Happiness	P1	4
S56	F	Auditory	1	Sadness	Sadness-Happiness	P1	1
S57	F	Auditory	1	Anger	Fear-Anger	P1	5
S58	F	Auditory	1	Anger	Fear-Anger	P1	5
S59	F	Auditory	1	Anger	Fear-Anger	P1	5
S60	F	Auditory	1	Anger	Fear-Anger	P1	5
S61	F	Auditory	1	Anger	Fear-Anger	P1	2
S62	F	Auditory	1	Anger	Fear-Anger	P1	4
S63	F	Auditory	1	Anger	Fear-Anger	P1	2
S64	F	Auditory	1	Anger	Fear-Anger	P1	1
S1	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S2	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S3	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S4	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S5	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S6	M	Auditory	2	Neutral	Neutral-Incredulity	P1	4
S7	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S8	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S9	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S10	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S11	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S12	M	Auditory	2	Neutral	Neutral-Incredulity	P1	4
S13	M	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S14	M	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S15	M	Auditory	2	Neutral	Neutral-Incredulity	P1	1
S16	M	Auditory	2	Neutral	Neutral-Incredulity	P1	2
S17	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S18	M	Auditory	1	Happiness	Sadness-Happiness	P1	4
S19	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S20	M	Auditory	1	Sadness	Sadness-Happiness	P1	2
S21	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S22	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S23	M	Auditory	1	Happiness	Sadness-Happiness	P1	5
S24	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S25	M	Auditory	1	Happiness	Sadness-Happiness	P1	4
S26	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S27	M	Auditory	1	Happiness	Sadness-Happiness	P1	4
S28	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S29	M	Auditory	1	Happiness	Sadness-Happiness	P1	5
S30	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
S31	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S32	M	Auditory	1	Fear	Fear-Anger	P1	2
S33	M	Auditory	1	Sadness	Sadness-Happiness	P1	2
S34	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S35	M	Auditory	1	Fear	Fear-Anger	P1	2
S36	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	4
S37	M	Auditory	1	Happiness	Sadness-Happiness	P1	4
S38	M	Auditory	2	Incredulity	Neutral-Incredulity	P1	5
