Stimulus	Speaker	f0T1	f0T2	f0slope	f0time
S01	Male1	124.7	90.3	0.36	94.363
S02	Male1	126.8	104.6	0.12	188.075
S03	Male1	148.5	107.2	0.23	183.502
S04	Male1	172.2	101.0	0.17	430.987
S05	Male1	118.8	115.6	0.02	147.862
S06	Male1	150.7	142.3	0.14	60.530
S07	Male1	130.2	47.5	0.38	218.023
S08	Male1	129.6	133.3	0.02	162.615
S09	Male1	181.9	114.6	0.19	345.970
S10	Male1	172.5	123.8	0.44	110.470
S11	Male1	159.0	114.2	0.28	162.937
S12	Male1	159.6	111.5	0.14	349.726
S13	Male1	126.6	83.8	0.25	174.042
S14	Male1	138.8	115.0	0.28	84.845
S15	Male1	127.6	113.9	0.13	106.547
S16	Male1	130.8	102.1	0.24	118.027
S17	Male1	110.2	201.5	0.57	161.402
S21	Male1	149.0	199.9	0.22	229.698
S22	Male1	153.9	245.5	0.93	97.999
S24	Male1	105.4	293.3	1.20	156.092
S26	Male1	101.3	318.4	1.15	188.110
S28	Male1	91.2	231.2	0.71	197.481
S30	Male1	172.5	127.3	0.33	135.894
S31	Male1	166.6	344.6	1.32	135.360
S34	Male1	166.0	246.2	0.50	161.463
S36	Male1	105.2	248.3	0.90	158.956
S38	Male1	132.7	285.6	0.65	236.692
S41	Male1	193.0	169.6	0.14	171.903
S43	Male1	131.0	131.6	0.003	175.405
S47	Male1	140.4	147.6	0.04	192.817
S51	Male1	163.5	230.7	0.18	364.887
S01	Female1	216.0	213.7	0.02	116.172
S02	Female1	223.8	202.1	0.14	157.696
S03	Female1	229.1	234.3	0.02	209.383
S04	Female1	238.7	192.1	0.32	147.741
S05	Female1	225.7	215.8	0.15	66.333
S06	Female1	243.3	221.8	0.08	273.013
S07	Female1	216.9	183.4	0.16	213.500
S08	Female1	250.8	243.5	0.12	61.356
S09	Female1	256.7	210.1	0.14	336.597
S10	Female1	218.5	225.1	0.06	110.412
S11	Female1	200.3	179.3	0.16	130.669
S12	Female1	224.0	218.8	0.04	120.422
S13	Female1	238.2	235.3	0.01	243.207
S14	Female1	232.5	215.5	0.09	195.802
S15	Female1	228.9	282.1	0.31	172.379
S16	Female1	224.0	197.4	0.13	207.787
S17	Female1	154.4	501.1	2.13	162.424
S19	Female1	207.2	522.9	1.56	201.971
S21	Female1	188.2	438.2	0.99	253.288
S22	Female1	268.2	420.0	1.44	105.598
S24	Female1	219.0	367.5	1.32	112.363
S26	Female1	222.7	326.0	0.57	181.802
S28	Female1	227.6	312.6	1.34	63.327
S30	Female1	239.4	314.0	0.42	176.785
S31	Female1	274.8	383.9	1.14	95.363
S34	Female1	224.9	319.8	1.55	61.080
S36	Female1	255.1	354.4	1.30	76.201
S38	Female1	223.2	419.5	0.82	240.084
S41	Female1	268.1	457.0	1.77	106.751
S43	Female1	209.7	320.7	0.97	114.684
S47	Female1	238.1	506.3	3.01	89.015
S51	Female1	212.2	401.9	1.05	179.818
